DATE,WPU0811
1990-01-01,128.3
1990-04-01,125.6
1990-07-01,122.0
1990-10-01,116.1
1991-01-01,117.2
1991-04-01,138.2
1991-07-01,126.1
1991-10-01,129.7
1992-01-01,152.9
1992-04-01,148.2
1992-07-01,147.3
1992-10-01,159.6
1993-01-01,212.0
1993-04-01,185.8
1993-07-01,185.9
1993-10-01,208.8
1994-01-01,210.2
1994-04-01,199.8
1994-07-01,192.9
1994-10-01,188.8
1995-01-01,185.4
1995-04-01,173.7
1995-07-01,179.9
1995-10-01,169.3
1996-01-01,174.6
1996-04-01,196.8
1996-07-01,203.9
1996-10-01,202.4
1997-01-01,210.5
1997-04-01,211.5
1997-07-01,201.9
1997-10-01,194.8
1998-01-01,193.7
1998-04-01,177.1
1998-07-01,175.2
1998-10-01,175.1
1999-01-01,193.4
1999-04-01,205.9
1999-07-01,197.4
1999-10-01,192.8
2000-01-01,193.0
2000-04-01,179.5
2000-07-01,167.5
2000-10-01,164.9
2001-01-01,165.7
2001-04-01,187.3
2001-07-01,173.4
2001-10-01,161.0
2002-01-01,178.2
2002-04-01,170.2
2002-07-01,169.5
2002-10-01,164.8
2003-01-01,164.5
2003-04-01,164.9
2003-07-01,183.8
2003-10-01,178.4
2004-01-01,204.7
2004-04-01,218.6
2004-07-01,231.1
2004-10-01,196.1
2005-01-01,215.2
2005-04-01,209.6
2005-07-01,202.4
2005-10-01,195.3
2006-01-01,206.6
2006-04-01,194.5
2006-07-01,180.2
2006-10-01,165.7
2007-01-01,174.8
2007-04-01,174.4
2007-07-01,169.5
2007-10-01,159.0
2008-01-01,152.0
2008-04-01,166.6
2008-07-01,162.9
2008-10-01,146.1
2009-01-01,134.8
2009-04-01,135.6
2009-07-01,146.1
2009-10-01,150.3
2010-01-01,166.7
2010-04-01,162.9
2010-07-01,153.2
2010-10-01,159.2
2011-01-01,165.0
2011-04-01,158.2
2011-07-01,158.9
2011-10-01,158.0
2012-01-01,166.3
2012-04-01,176.3
2012-07-01,175.9
2012-10-01,185.7
2013-01-01,216.7
2013-04-01,190.4
2013-07-01,191.8
2013-10-01,197.6
2014-01-01,211.5
2014-04-01,204.5
2014-07-01,211.1
2014-10-01,200.3
2015-01-01,195.7
2015-04-01,192.2
2015-07-01,184.2
2015-10-01,187.0
2016-01-01,192.8
2016-04-01,202.6
2016-07-01,203.5
2016-10-01,202.1
2017-01-01,216.4
2017-04-01,221.7
2017-07-01,227.4
2017-10-01,231.2
2018-01-01,254.3
2018-04-01,273.6
2018-07-01,237.7
2018-10-01,210.0
2019-01-01,216.3
2019-04-01,206.8
2019-07-01,219.7
2019-10-01,220.6
2020-01-01,240.5
2020-04-01,245.8
2020-07-01,398.9
2020-10-01,340.3
2021-01-01,441.8
2021-04-01,553.8
