DATE,WPU101
1926-01-01,11.4
1926-04-01,11.2
1926-07-01,11.3
1926-10-01,11.2
1927-01-01,10.7
1927-04-01,10.7
1927-07-01,10.6
1927-10-01,10.4
1928-01-01,10.6
1928-04-01,10.5
1928-07-01,10.5
1928-10-01,10.7
1929-01-01,10.7
1929-04-01,10.8
1929-07-01,10.7
1929-10-01,10.6
1930-01-01,10.3
1930-04-01,10.1
1930-07-01,9.9
1930-10-01,9.8
1931-01-01,9.6
1931-04-01,9.4
1931-07-01,9.3
1931-10-01,9.1
1932-01-01,9.0
1932-04-01,9.0
1932-07-01,9.0
1932-10-01,8.9
1933-01-01,8.6
1933-04-01,8.6
1933-07-01,9.1
1933-10-01,9.4
1934-01-01,9.8
1934-04-01,10.0
1934-07-01,9.8
1934-10-01,9.7
1935-01-01,9.7
1935-04-01,9.9
1935-07-01,9.8
1935-10-01,9.8
1936-01-01,9.8
1936-04-01,9.7
1936-07-01,10.0
1936-10-01,10.2
1937-01-01,11.0
1937-04-01,11.2
1937-07-01,11.3
1937-10-01,11.2
1938-01-01,11.2
1938-04-01,11.4
1938-07-01,11.0
1938-10-01,10.9
1939-01-01,10.9
1939-04-01,10.7
1939-07-01,10.8
1939-10-01,10.9
1940-01-01,10.9
1940-04-01,10.6
1940-07-01,10.7
1940-10-01,10.8
1941-01-01,10.8
1941-04-01,10.9
1941-07-01,11.0
1941-10-01,11.0
1942-01-01,11.0
1942-04-01,11.0
1942-07-01,11.0
1942-10-01,11.0
1943-01-01,11.0
1943-04-01,11.0
1943-07-01,11.0
1943-10-01,11.0
1944-01-01,11.0
1944-04-01,11.0
1944-07-01,11.0
1944-10-01,11.0
1945-01-01,11.1
1945-04-01,11.2
1945-07-01,11.2
1945-10-01,11.4
1946-01-01,12.1
1946-04-01,12.4
1946-07-01,12.8
1946-10-01,13.3
1947-01-01,14.7
1947-04-01,14.5
1947-07-01,15.7
1947-10-01,16.0
1948-01-01,16.8
1948-04-01,16.8
1948-07-01,18.5
1948-10-01,18.8
1949-01-01,18.3
1949-04-01,17.4
1949-07-01,17.7
1949-10-01,18.1
1950-01-01,18.5
1950-04-01,19.1
1950-07-01,19.3
1950-10-01,20.6
1951-01-01,20.7
1951-04-01,20.7
1951-07-01,20.7
1951-10-01,20.7
1952-01-01,20.8
1952-04-01,20.6
1952-07-01,21.5
1952-10-01,21.4
1953-01-01,21.5
1953-04-01,22.0
1953-07-01,22.7
1953-10-01,22.4
1954-01-01,22.0
1954-04-01,22.2
1954-07-01,22.6
1954-10-01,22.7
1955-01-01,22.9
1955-04-01,22.9
1955-07-01,24.4
1955-10-01,24.8
1956-01-01,25.2
1956-04-01,25.2
1956-07-01,27.2
1956-10-01,27.5
1957-01-01,27.6
1957-04-01,27.9
1957-07-01,28.7
1957-10-01,28.1
1958-01-01,28.2
1958-04-01,28.1
1958-07-01,28.9
1958-10-01,28.9
1959-01-01,29.0
1959-04-01,28.9
1959-07-01,29.1
1959-10-01,29.0
1960-01-01,28.7
1960-04-01,28.6
1960-07-01,28.6
1960-10-01,28.4
1961-01-01,28.7
1961-04-01,28.7
1961-07-01,28.8
1961-10-01,28.5
1962-01-01,28.4
1962-04-01,28.2
1962-07-01,28.2
1962-10-01,28.1
1963-01-01,28.0
1963-04-01,28.2
1963-07-01,28.2
1963-10-01,28.5
1964-01-01,28.5
1964-04-01,28.6
1964-07-01,28.6
1964-10-01,28.8
1965-01-01,28.8
1965-04-01,28.8
1965-07-01,28.8
1965-10-01,29.0
1966-01-01,29.1
1966-04-01,29.1
1966-07-01,29.2
1966-10-01,29.3
1967-01-01,29.5
1967-04-01,29.4
1967-07-01,29.6
1967-10-01,29.8
1968-01-01,30.0
1968-04-01,29.9
1968-07-01,30.4
1968-10-01,30.2
1969-01-01,30.9
1969-04-01,31.4
1969-07-01,32.2
1969-10-01,32.5
1970-01-01,33.5
1970-04-01,34.3
1970-07-01,34.4
1970-10-01,34.3
1971-01-01,34.8
1971-04-01,35.5
1971-07-01,37.1
1971-10-01,37.0
1972-01-01,37.9
1972-04-01,37.8
1972-07-01,38.0
1972-10-01,38.2
1973-01-01,39.3
1973-04-01,40.1
1973-07-01,40.3
1973-10-01,42.0
1974-01-01,46.5
1974-04-01,52.5
1974-07-01,58.4
1974-10-01,58.0
1975-01-01,59.2
1975-04-01,58.8
1975-07-01,59.1
1975-10-01,60.3
1976-01-01,62.4
1976-04-01,64.4
1976-07-01,64.5
1976-10-01,65.7
1977-01-01,67.1
1977-04-01,66.9
1977-07-01,69.6
1977-10-01,69.5
1978-01-01,73.0
1978-04-01,74.5
1978-07-01,76.3
1978-10-01,77.6
1979-01-01,82.6
1979-04-01,83.5
1979-07-01,84.2
1979-10-01,86.4
1980-01-01,89.0
1980-04-01,89.5
1980-07-01,89.8
1980-10-01,93.3
1981-01-01,96.8
1981-04-01,97.4
1981-07-01,100.2
1981-10-01,100.3
1982-01-01,101.0
1982-04-01,99.8
1982-07-01,99.3
1982-10-01,98.2
1983-01-01,100.8
1983-04-01,100.7
1983-07-01,102.7
1983-10-01,103.5
1984-01-01,105.1
1984-04-01,105.3
1984-07-01,105.6
1984-10-01,105.3
1985-01-01,105.5
1985-04-01,104.6
1985-07-01,104.6
1985-10-01,104.1
1986-01-01,100.8
1986-04-01,101.1
1986-07-01,101.4
1986-10-01,101.3
1987-01-01,101.9
1987-04-01,102.5
1987-07-01,105.4
1987-10-01,109.9
1988-01-01,113.6
1988-04-01,114.9
1988-07-01,117.4
1988-10-01,117.6
1989-01-01,120.7
1989-04-01,119.8
1989-07-01,118.1
1989-10-01,116.5
1990-01-01,116.5
1990-04-01,117.4
1990-07-01,117.9
1990-10-01,116.8
1991-01-01,115.8
1991-04-01,113.5
1991-07-01,112.8
1991-10-01,112.3
1992-01-01,112.7
1992-04-01,111.4
1992-07-01,111.0
1992-10-01,110.6
1993-01-01,113.4
1993-04-01,115.6
1993-07-01,117.3
1993-10-01,120.8
1994-01-01,121.8
1994-04-01,118.8
1994-07-01,123.1
1994-10-01,124.7
1995-01-01,129.1
1995-04-01,129.7
1995-07-01,129.4
1995-10-01,126.6
1996-01-01,125.7
1996-04-01,126.2
1996-07-01,126.4
1996-10-01,124.2
1997-01-01,126.2
1997-04-01,126.1
1997-07-01,126.8
1997-10-01,127.0
1998-01-01,125.7
1998-04-01,125.0
1998-07-01,120.5
1998-10-01,114.5
1999-01-01,112.9
1999-04-01,113.8
1999-07-01,113.9
1999-10-01,117.1
2000-01-01,118.4
2000-04-01,117.6
2000-07-01,116.1
2000-10-01,112.4
2001-01-01,110.6
2001-04-01,109.7
2001-07-01,109.6
2001-10-01,107.3
2002-01-01,109.0
2002-04-01,114.7
2002-07-01,118.6
2002-10-01,117.9
2003-01-01,120.7
2003-04-01,119.2
2003-07-01,122.0
2003-10-01,128.4
2004-01-01,150.3
2004-04-01,155.2
2004-07-01,174.0
2004-10-01,180.6
2005-01-01,176.4
2005-04-01,162.0
2005-07-01,169.2
2005-10-01,173.8
2006-01-01,178.1
2006-04-01,189.0
2006-07-01,195.3
2006-10-01,189.6
2007-01-01,205.5
2007-04-01,205.3
2007-07-01,199.8
2007-10-01,200.6
2008-01-01,224.0
2008-04-01,284.1
2008-07-01,274.0
2008-10-01,195.6
2009-01-01,179.8
2009-04-01,171.1
2009-07-01,193.7
2009-10-01,195.7
2010-01-01,220.6
2010-04-01,233.5
2010-07-01,224.1
2010-10-01,228.3
2011-01-01,253.3
2011-04-01,256.4
2011-07-01,256.9
2011-10-01,252.1
2012-01-01,253.4
2012-04-01,239.0
2012-07-01,233.7
2012-10-01,230.3
2013-01-01,228.8
2013-04-01,222.2
2013-07-01,223.9
2013-10-01,232.5
2014-01-01,231.3
2014-04-01,232.6
2014-07-01,233.9
2014-10-01,224.0
2015-01-01,205.2
2015-04-01,200.3
2015-07-01,190.5
2015-10-01,172.2
2016-01-01,175.4
2016-04-01,193.4
2016-07-01,191.2
2016-10-01,196.4
2017-01-01,213.3
2017-04-01,213.9
2017-07-01,215.7
2017-10-01,212.9
2018-01-01,227.5
2018-04-01,242.5
2018-07-01,244.7
2018-10-01,245.8
2019-01-01,238.6
2019-04-01,222.5
2019-07-01,212.3
2019-10-01,207.3
2020-01-01,210.6
2020-04-01,203.5
2020-07-01,205.2
2020-10-01,230.7
2021-01-01,292.2
2021-04-01,352.5
2021-07-01,.
